Sample	ENA_Project	ENA_Sample	ENA_Experiment	ENA_Run	Platform	Amplicon_scheme
B	PRJEB50520	SAMEA13151208	ERX8504195	ERR8959165	Nanopore	midnight-v2
B	PRJEB50520	SAMEA13151220	ERX8504216	ERR8959186	Nanopore	artic-v4.1
B	PRJEB50520	SAMEA13151231	ERX8504241	ERR8959211	Illumina	artic-v4.1
B	PRJEB50520	SAMEA13173735	ERX8504370	ERR8959340	Nanopore	sispa
B.1	PRJEB50520	SAMEA13151209	ERX8504197	ERR8959167	Nanopore	midnight-v2
B.1	PRJEB50520	SAMEA13151221	ERX8504218	ERR8959188	Nanopore	artic-v4.1
B.1	PRJEB50520	SAMEA13151232	ERX8504243	ERR8959213	Illumina	artic-v4.1
B.1	PRJEB50520	SAMEA13173736	ERX8504372	ERR8959342	Nanopore	sispa
B.1.1.7	PRJEB50520	SAMEA13151210	ERX8504199	ERR8959169	Nanopore	midnight-v2
B.1.1.7	PRJEB50520	SAMEA13151222	ERX8504221	ERR8959191	Nanopore	artic-v4.1
B.1.1.7	PRJEB50520	SAMEA13151233	ERX8504244	ERR8959214	Illumina	artic-v4.1
B.1.1.7	PRJEB50520	SAMEA13173737	ERX8504374	ERR8959344	Nanopore	sispa
B.1.1.7_E484K	PRJEB50520	SAMEA13151215	ERX8504206	ERR8959176	Nanopore	midnight-v2
B.1.1.7_E484K	PRJEB50520	SAMEA13151227	ERX8504233	ERR8959203	Nanopore	artic-v4.1
B.1.1.7_E484K	PRJEB50520	SAMEA13151238	ERX8504254	ERR8959224	Illumina	artic-v4.1
B.1.1.7_E484K	PRJEB50520	SAMEA13173738	ERX8504376	ERR8959346	Nanopore	sispa
B.1.214.2	PRJEB50520	SAMEA13151216	ERX8504208	ERR8959178	Nanopore	midnight-v2
B.1.214.2	PRJEB50520	SAMEA13151228	ERX8504235	ERR8959205	Nanopore	artic-v4.1
B.1.214.2	PRJEB50520	SAMEA13151239	ERX8504257	ERR8959227	Illumina	artic-v4.1
B.1.214.2	PRJEB50520	SAMEA13173743	ERX8504387	ERR8959357	Nanopore	sispa
B.1.351	PRJEB50520	SAMEA13151211	ERX8504200	ERR8959170	Nanopore	midnight-v2
B.1.351	PRJEB50520	SAMEA13151223	ERX8504223	ERR8959193	Nanopore	artic-v4.1
B.1.351	PRJEB50520	SAMEA13151234	ERX8504246	ERR8959216	Illumina	artic-v4.1
B.1.351	PRJEB50520	SAMEA13173739	ERX8504378	ERR8959348	Nanopore	sispa
B.1.525	PRJEB50520	SAMEA13151214	ERX8504205	ERR8959175	Nanopore	midnight-v2
B.1.525	PRJEB50520	SAMEA13151226	ERX8504231	ERR8959201	Nanopore	artic-v4.1
B.1.525	PRJEB50520	SAMEA13151237	ERX8504252	ERR8959222	Illumina	artic-v4.1
B.1.525	PRJEB50520	SAMEA13173742	ERX8504385	ERR8959355	Nanopore	sispa
B.1.617.2	PRJEB50520	SAMEA13151217	ERX8504210	ERR8959180	Nanopore	midnight-v2
B.1.617.2	PRJEB50520	SAMEA13151229	ERX8504237	ERR8959207	Nanopore	artic-v4.1
B.1.617.2	PRJEB50520	SAMEA13151240	ERX8504258	ERR8959228	Illumina	artic-v4.1
B.1.617.2	PRJEB50520	SAMEA13173744	ERX8504389	ERR8959359	Nanopore	sispa
B.28	PRJEB50520	SAMEA13151207	ERX8504187	ERR8959157	Nanopore	midnight-v2
B.28	PRJEB50520	SAMEA13151219	ERX8504214	ERR8959184	Nanopore	artic-v4.1
B.28	PRJEB50520	SAMEA13151230	ERX8504239	ERR8959209	Illumina	artic-v4.1
B.28	PRJEB50520	SAMEA13173734	ERX8504367	ERR8959337	Nanopore	sispa
BA.1	PRJEB50520	SAMEA13151218	ERX8504212	ERR8959182	Nanopore	midnight-v2
BA.1	PRJEB50520	SAMEA13151241	ERX8504260	ERR8959230	Illumina	artic-v4.1
BA.1	PRJEB50520	SAMEA13173745	ERX8504391	ERR8959361	Nanopore	sispa
P.1	PRJEB50520	SAMEA13151212	ERX8504202	ERR8959172	Nanopore	midnight-v2
P.1	PRJEB50520	SAMEA13151224	ERX8504226	ERR8959196	Nanopore	artic-v4.1
P.1	PRJEB50520	SAMEA13151235	ERX8504248	ERR8959218	Illumina	artic-v4.1
P.1	PRJEB50520	SAMEA13173740	ERX8504381	ERR8959351	Nanopore	sispa
P.2	PRJEB50520	SAMEA13151213	ERX8504203	ERR8959173	Nanopore	midnight-v2
P.2	PRJEB50520	SAMEA13151225	ERX8504228	ERR8959198	Nanopore	artic-v4.1
P.2	PRJEB50520	SAMEA13151236	ERX8504250	ERR8959220	Illumina	artic-v4.1
P.2	PRJEB50520	SAMEA13173741	ERX8504383	ERR8959353	Nanopore	sispa
s24350	PRJEB51850	SAMEA13607196	ERX8902461	ERR9362079	Nanopore	artic-v3
s24350	PRJEB51850	SAMEA13607196	ERX8902462	ERR9362080	Illumina	artic-v3
s59130	PRJEB51850	SAMEA13607201	ERX8902471	ERR9362081	Nanopore	artic-v3
s59130	PRJEB51850	SAMEA13607201	ERX8902472	ERR9362082	Illumina	artic-v3
s98244	PRJEB51850	SAMEA13607206	ERX8902481	ERR9362083	Nanopore	artic-v3
s98244	PRJEB51850	SAMEA13607206	ERX8902482	ERR9362084	Illumina	artic-v3
s64379	PRJEB51850	SAMEA13607202	ERX8902473	ERR9362085	Nanopore	artic-v3
s64379	PRJEB51850	SAMEA13607202	ERX8902474	ERR9362086	Illumina	artic-v3
s12368	PRJEB51850	SAMEA13607194	ERX8902457	ERR9362087	Nanopore	artic-v3
s12368	PRJEB51850	SAMEA13607194	ERX8902458	ERR9362088	Illumina	artic-v3
s79306	PRJEB51850	SAMEA13607204	ERX8902477	ERR9362089	Nanopore	artic-v3
s79306	PRJEB51850	SAMEA13607204	ERX8902478	ERR9362090	Illumina	artic-v3
s12142	PRJEB51850	SAMEA13607192	ERX8902453	ERR9362091	Nanopore	artic-v3
s12142	PRJEB51850	SAMEA13607192	ERX8902454	ERR9362092	Illumina	artic-v3
s82718	PRJEB51850	SAMEA13607205	ERX8902479	ERR9362093	Nanopore	artic-v3
s82718	PRJEB51850	SAMEA13607205	ERX8902480	ERR9362094	Illumina	artic-v3
s32219	PRJEB51850	SAMEA13607197	ERX8902463	ERR9362095	Nanopore	artic-v3
s32219	PRJEB51850	SAMEA13607197	ERX8902464	ERR9362096	Illumina	artic-v3
s12220	PRJEB51850	SAMEA13607193	ERX8902455	ERR9362097	Nanopore	artic-v3
s12220	PRJEB51850	SAMEA13607193	ERX8902456	ERR9362098	Illumina	artic-v3
s71898	PRJEB51850	SAMEA13607203	ERX8902475	ERR9362099	Nanopore	artic-v3
s71898	PRJEB51850	SAMEA13607203	ERX8902476	ERR9362100	Illumina	artic-v3
s16621	PRJEB51850	SAMEA13607195	ERX8902459	ERR9362101	Nanopore	artic-v3
s16621	PRJEB51850	SAMEA13607195	ERX8902460	ERR9362102	Illumina	artic-v3
s11511	PRJEB51850	SAMEA13607191	ERX8902451	ERR9362103	Nanopore	artic-v3
s11511	PRJEB51850	SAMEA13607191	ERX8902452	ERR9362104	Illumina	artic-v3
s53667	PRJEB51850	SAMEA13607200	ERX8902469	ERR9362105	Nanopore	artic-v3
s53667	PRJEB51850	SAMEA13607200	ERX8902470	ERR9362106	Illumina	artic-v3
s52247	PRJEB51850	SAMEA13607199	ERX8902467	ERR9362107	Nanopore	artic-v3
s52247	PRJEB51850	SAMEA13607199	ERX8902468	ERR9362108	Illumina	artic-v3
s35910	PRJEB51850	SAMEA13607198	ERX8902465	ERR9362109	Nanopore	artic-v3
s35910	PRJEB51850	SAMEA13607198	ERX8902466	ERR9362110	Illumina	artic-v3
